,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[362],0.474,0.191,0.166,0.784,0.002,0.001,14064.0,6696.0,1.0
mu[363],-0.35,0.214,-0.677,0.026,0.002,0.002,18065.0,5551.0,1.0
mu[364],-0.217,0.175,-0.508,0.066,0.002,0.001,12958.0,6243.0,1.0
mu[365],-0.133,0.14,-0.368,0.094,0.001,0.001,9890.0,6580.0,1.0
mu[366],-0.202,0.234,-0.592,0.168,0.002,0.002,20437.0,5765.0,1.0
mu[367],-1.052,0.181,-1.338,-0.739,0.002,0.001,8938.0,5459.0,1.0
mu[368],0.01,0.199,-0.318,0.339,0.002,0.002,13583.0,6586.0,1.0
mu[369],-0.624,0.189,-0.947,-0.322,0.001,0.001,17784.0,5685.0,1.0
mu[370],-0.245,0.201,-0.564,0.09,0.001,0.002,20263.0,5624.0,1.0
mu[371],-0.617,0.146,-0.851,-0.37,0.001,0.001,17319.0,5951.0,1.0
mu[372],-0.559,0.192,-0.866,-0.235,0.002,0.001,11596.0,6617.0,1.0
mu[373],-0.443,0.128,-0.644,-0.221,0.001,0.001,17808.0,5515.0,1.0
mu[374],-0.194,0.126,-0.386,0.027,0.001,0.001,19481.0,6027.0,1.0
mu[375],0.772,0.13,0.559,0.987,0.001,0.001,10094.0,6871.0,1.0
mu[376],-0.089,0.114,-0.278,0.097,0.001,0.001,9634.0,6673.0,1.0
mu[377],-0.741,0.156,-0.987,-0.475,0.002,0.001,8905.0,5530.0,1.0
mu[378],-0.009,0.2,-0.338,0.32,0.002,0.002,13597.0,6564.0,1.0
mu[379],-0.552,0.173,-0.859,-0.286,0.001,0.001,17840.0,5678.0,1.0
mu[380],-0.152,0.14,-0.39,0.069,0.001,0.001,12694.0,6195.0,1.0
mu[381],-0.584,0.192,-0.897,-0.266,0.002,0.001,11572.0,6560.0,1.0
mu[382],-0.467,0.131,-0.676,-0.244,0.001,0.001,17791.0,5695.0,1.0
mu[383],-0.244,0.201,-0.572,0.082,0.001,0.002,20271.0,5666.0,1.0
mu[384],-0.408,0.098,-0.567,-0.245,0.001,0.001,17664.0,6155.0,1.0
mu[385],-0.238,0.199,-0.564,0.084,0.001,0.002,20331.0,5676.0,1.0
mu[386],-0.444,0.152,-0.686,-0.182,0.001,0.001,17913.0,5748.0,1.0
mu[387],-0.297,0.165,-0.577,-0.036,0.002,0.001,10645.0,6901.0,1.0
mu[388],-0.068,0.102,-0.232,0.103,0.001,0.001,9497.0,6608.0,1.0
mu[389],0.031,0.199,-0.306,0.349,0.002,0.002,13588.0,6788.0,1.0
mu[390],-0.171,0.114,-0.343,0.032,0.001,0.001,19515.0,5864.0,1.0
mu[391],-0.111,0.146,-0.362,0.116,0.001,0.001,12260.0,5572.0,1.0
mu[392],-0.45,0.129,-0.652,-0.227,0.001,0.001,17794.0,5618.0,1.0
mu[393],-0.565,0.192,-0.87,-0.239,0.002,0.001,11586.0,6635.0,1.0
mu[394],-0.466,0.111,-0.653,-0.289,0.001,0.001,17603.0,6114.0,1.0
mu[395],0.672,0.118,0.464,0.852,0.001,0.001,10253.0,6951.0,1.0
mu[396],1.264,0.381,0.606,1.864,0.003,0.002,17150.0,6165.0,1.0
mu[397],0.702,0.403,0.073,1.379,0.003,0.003,15180.0,5680.0,1.0
mu[398],0.014,0.343,-0.532,0.599,0.004,0.004,7989.0,4901.0,1.0
mu[399],2.99,0.47,2.178,3.734,0.005,0.003,9987.0,5652.0,1.0
mu[400],0.466,0.445,-0.246,1.22,0.004,0.004,12047.0,5398.0,1.0
mu[401],-0.255,0.48,-1.049,0.53,0.005,0.005,9041.0,5271.0,1.0
mu[402],-0.043,0.341,-0.584,0.539,0.004,0.004,8029.0,5071.0,1.0
mu[403],0.139,0.492,-0.699,0.91,0.005,0.006,8826.0,5626.0,1.0
mu[404],-0.152,0.462,-0.926,0.597,0.005,0.005,9802.0,5210.0,1.0
mu[405],-0.573,0.46,-1.333,0.194,0.005,0.004,10297.0,6179.0,1.0
mu[406],0.402,0.468,-0.347,1.194,0.004,0.004,11307.0,5420.0,1.0
mu[407],0.992,0.139,0.758,1.217,0.001,0.001,12465.0,6654.0,1.0
mu[408],0.04,0.196,-0.276,0.363,0.002,0.002,13709.0,5452.0,1.0
mu[409],1.459,0.276,1.017,1.926,0.002,0.002,12316.0,5998.0,1.0
mu[410],-0.997,0.315,-1.513,-0.481,0.003,0.002,12302.0,6403.0,1.0
mu[411],-0.593,0.233,-0.966,-0.206,0.002,0.002,9296.0,6060.0,1.0
mu[412],-0.178,0.314,-0.685,0.343,0.003,0.003,12734.0,6293.0,1.0
mu[413],1.478,0.276,1.035,1.943,0.002,0.002,12290.0,6021.0,1.0
mu[414],-0.662,0.234,-1.039,-0.274,0.002,0.002,9208.0,5928.0,1.0
mu[415],-0.194,0.249,-0.591,0.227,0.002,0.002,14857.0,5829.0,1.0
mu[416],0.401,0.141,0.171,0.635,0.001,0.001,11068.0,6317.0,1.0
mu[417],3.592,0.193,3.264,3.9,0.002,0.002,8237.0,6210.0,1.0
mu[418],-0.441,0.209,-0.784,-0.102,0.002,0.002,10552.0,5754.0,1.0
mu[419],0.991,0.139,0.758,1.216,0.001,0.001,12465.0,6654.0,1.0
mu[420],0.098,0.201,-0.238,0.417,0.002,0.002,13468.0,5218.0,1.0
mu[421],-0.978,0.309,-1.497,-0.482,0.003,0.002,12087.0,6302.0,1.0
mu[422],-0.569,0.304,-1.051,-0.054,0.003,0.002,12378.0,6970.0,1.0
mu[423],-0.159,0.314,-0.691,0.335,0.003,0.003,12640.0,6265.0,1.0
mu[424],1.547,0.276,1.108,2.018,0.002,0.002,12201.0,6093.0,1.0
mu[425],3.537,0.192,3.219,3.851,0.002,0.001,8260.0,5791.0,1.0
mu[426],-0.574,0.304,-1.056,-0.058,0.003,0.002,12407.0,7095.0,1.0
mu[427],0.202,0.255,-0.227,0.608,0.002,0.002,11340.0,6456.0,1.0
mu[428],3.553,0.203,3.217,3.882,0.002,0.002,8509.0,6006.0,1.0
mu[429],-0.325,0.182,-0.627,-0.027,0.002,0.002,8945.0,5471.0,1.0
mu[430],-0.194,0.25,-0.591,0.229,0.002,0.002,14849.0,5829.0,1.0
mu[431],-0.872,0.265,-1.306,-0.437,0.002,0.002,11884.0,6666.0,1.0
mu[432],1.883,0.139,1.648,2.103,0.001,0.001,9390.0,5502.0,1.0
mu[433],0.22,0.138,0.0,0.451,0.001,0.001,13213.0,4955.0,1.0
mu[434],-0.211,0.144,-0.454,0.015,0.001,0.001,10906.0,5767.0,1.0
mu[435],-0.007,0.14,-0.225,0.233,0.001,0.002,10605.0,5822.0,1.0
mu[436],0.15,0.134,-0.068,0.369,0.001,0.001,12413.0,5865.0,1.0
mu[437],0.848,0.135,0.63,1.073,0.001,0.001,16906.0,6354.0,1.0
mu[438],-0.3,0.184,-0.618,-0.014,0.002,0.002,8872.0,5632.0,1.0
mu[439],0.492,0.229,0.115,0.859,0.002,0.002,14018.0,6306.0,1.0
mu[440],0.174,0.254,-0.246,0.586,0.002,0.002,11438.0,6625.0,1.0
mu[441],3.716,0.204,3.363,4.033,0.002,0.002,8300.0,5830.0,1.0
mu[442],-0.765,0.257,-1.159,-0.32,0.002,0.002,11345.0,6550.0,1.0
mu[443],1.885,0.139,1.65,2.106,0.001,0.001,9399.0,5481.0,1.0
mu[444],0.492,0.229,0.113,0.857,0.002,0.002,14008.0,6254.0,1.0
mu[445],0.252,0.145,0.022,0.497,0.001,0.001,13273.0,5084.0,1.0
mu[446],-0.005,0.14,-0.224,0.238,0.001,0.002,10605.0,5901.0,1.0
mu[447],0.169,0.142,-0.065,0.398,0.001,0.001,12525.0,5958.0,1.0
mu[448],0.966,0.149,0.727,1.215,0.001,0.001,16826.0,6234.0,1.0
mu[449],-0.26,0.187,-0.581,0.029,0.002,0.002,8792.0,5622.0,1.0
mu[450],0.493,0.23,0.122,0.868,0.002,0.002,13990.0,6203.0,1.0
mu[451],0.193,0.254,-0.236,0.598,0.002,0.002,11373.0,6596.0,1.0
mu[452],3.634,0.203,3.28,3.947,0.002,0.002,8390.0,6062.0,1.0
mu[453],-0.734,0.255,-1.142,-0.307,0.002,0.002,11213.0,6664.0,1.0
mu[454],1.866,0.137,1.637,2.084,0.001,0.001,9325.0,5645.0,1.0
mu[455],0.197,0.133,-0.009,0.425,0.001,0.001,13203.0,4890.0,1.0
mu[456],-0.224,0.132,-0.435,-0.001,0.001,0.001,10794.0,5585.0,1.0
mu[457],-0.012,0.137,-0.227,0.224,0.001,0.002,10601.0,5762.0,1.0
mu[458],0.166,0.141,-0.064,0.395,0.001,0.001,12513.0,6004.0,1.0
mu[459],0.954,0.148,0.716,1.2,0.001,0.001,16831.0,6325.0,1.0
mu[460],-0.204,0.15,-0.458,0.029,0.001,0.001,10969.0,5929.0,1.0
mu[461],0.405,0.142,0.174,0.641,0.001,0.001,11076.0,6343.0,1.0
mu[462],-0.047,0.085,-0.19,0.092,0.001,0.001,10894.0,5670.0,1.0
mu[463],0.314,0.169,0.045,0.598,0.002,0.001,12643.0,7023.0,1.0
mu[464],-0.159,0.207,-0.489,0.191,0.002,0.002,14522.0,6509.0,1.0
mu[465],-0.174,0.08,-0.3,-0.039,0.001,0.001,10960.0,5437.0,1.0
mu[466],-0.046,0.085,-0.184,0.095,0.001,0.001,12123.0,6363.0,1.0
mu[467],0.008,0.037,-0.055,0.067,0.0,0.0,8982.0,6583.0,1.0
mu[468],-0.343,0.114,-0.529,-0.156,0.001,0.001,9002.0,6266.0,1.0
mu[469],-0.023,0.087,-0.165,0.122,0.001,0.001,13705.0,6059.0,1.0
mu[470],-0.047,0.103,-0.22,0.118,0.001,0.001,12633.0,7508.0,1.0
mu[471],0.934,0.166,0.662,1.205,0.001,0.001,13512.0,6685.0,1.0
mu[472],-0.274,0.119,-0.475,-0.086,0.001,0.001,12313.0,6714.0,1.0
mu[473],1.781,0.17,1.496,2.051,0.002,0.001,10561.0,6277.0,1.0
mu[474],-0.392,0.236,-0.769,0.011,0.002,0.002,15954.0,7190.0,1.0
mu[475],-0.222,0.074,-0.34,-0.098,0.001,0.001,11489.0,6356.0,1.0
mu[476],-0.253,0.115,-0.447,-0.067,0.001,0.001,11992.0,6556.0,1.0
mu[477],-0.154,0.104,-0.32,0.022,0.001,0.001,13492.0,6686.0,1.0
mu[478],-0.805,0.094,-0.954,-0.644,0.001,0.001,10936.0,6810.0,1.0
mu[479],-0.618,0.15,-0.863,-0.37,0.001,0.001,11241.0,6513.0,1.0
mu[480],-0.062,0.045,-0.137,0.011,0.0,0.0,8631.0,7019.0,1.0
mu[481],-0.306,0.142,-0.537,-0.068,0.001,0.001,15399.0,6822.0,1.0
mu[482],0.612,0.202,0.285,0.949,0.002,0.001,15121.0,6416.0,1.0
mu[483],-0.367,0.154,-0.619,-0.115,0.001,0.001,12754.0,6710.0,1.0
mu[484],1.064,0.28,0.612,1.526,0.002,0.002,13087.0,5964.0,1.0
mu[485],-0.488,0.255,-0.929,-0.087,0.002,0.002,16223.0,7061.0,1.0
mu[486],-0.264,0.101,-0.434,-0.104,0.001,0.001,12160.0,6035.0,1.0
mu[487],-0.421,0.209,-0.748,-0.064,0.002,0.001,12643.0,5842.0,1.0
mu[488],-0.231,0.132,-0.45,-0.017,0.001,0.001,14203.0,6190.0,1.0
mu[489],-1.188,0.138,-1.418,-0.965,0.001,0.001,12078.0,6799.0,1.0
mu[490],-0.736,0.174,-1.032,-0.461,0.002,0.001,11856.0,5951.0,1.0
mu[491],-0.107,0.131,-0.318,0.112,0.001,0.001,10712.0,6308.0,1.0
mu[492],1.856,0.178,1.573,2.159,0.001,0.001,15500.0,6325.0,1.0
mu[493],2.159,0.153,1.909,2.408,0.002,0.001,8964.0,5796.0,1.0
mu[494],-0.027,0.036,-0.084,0.036,0.0,0.0,7435.0,6720.0,1.0
mu[495],-0.571,0.204,-0.894,-0.224,0.002,0.001,15918.0,6434.0,1.0
mu[496],0.572,0.168,0.3,0.85,0.001,0.001,15620.0,6485.0,1.0
mu[497],1.654,0.11,1.473,1.837,0.001,0.001,9201.0,6835.0,1.0
mu[498],2.939,0.206,2.606,3.277,0.002,0.002,8883.0,5813.0,1.0
mu[499],0.427,0.159,0.157,0.678,0.001,0.001,14767.0,6384.0,1.0
mu[500],-0.07,0.162,-0.336,0.193,0.002,0.002,11553.0,6907.0,1.0
mu[501],0.094,0.142,-0.136,0.336,0.001,0.001,11021.0,6608.0,1.0
mu[502],0.368,0.184,0.074,0.681,0.001,0.001,15806.0,6342.0,1.0
mu[503],1.35,0.145,1.113,1.586,0.001,0.001,14189.0,6864.0,1.0
mu[504],0.558,0.178,0.277,0.861,0.002,0.001,11191.0,6362.0,1.0
mu[505],0.278,0.153,0.02,0.517,0.001,0.001,12695.0,5807.0,1.0
mu[506],0.578,0.169,0.304,0.86,0.001,0.001,15618.0,6485.0,1.0
mu[507],0.324,0.173,0.049,0.613,0.002,0.001,12674.0,7001.0,1.0
mu[508],2.92,0.206,2.59,3.259,0.002,0.002,8912.0,5859.0,1.0
mu[509],0.464,0.172,0.182,0.742,0.001,0.001,14821.0,6304.0,1.0
mu[510],-0.068,0.165,-0.337,0.2,0.002,0.002,11561.0,6920.0,1.0
mu[511],0.09,0.14,-0.131,0.331,0.001,0.001,11002.0,6661.0,1.0
mu[512],1.815,0.173,1.54,2.108,0.001,0.001,15424.0,6351.0,1.0
mu[513],1.43,0.154,1.178,1.682,0.001,0.001,14629.0,6865.0,1.0
mu[514],0.379,0.19,0.079,0.704,0.002,0.001,15783.0,6369.0,1.0
mu[515],1.415,0.152,1.165,1.663,0.001,0.001,14620.0,6834.0,1.0
mu[516],0.379,0.19,0.079,0.704,0.002,0.001,15783.0,6369.0,1.0
mu[517],0.093,0.142,-0.131,0.339,0.001,0.001,11019.0,6666.0,1.0
mu[518],0.465,0.172,0.182,0.744,0.001,0.001,14823.0,6304.0,1.0
mu[519],2.939,0.206,2.606,3.277,0.002,0.002,8883.0,5793.0,1.0
mu[520],-0.067,0.166,-0.34,0.202,0.002,0.002,11565.0,6890.0,1.0
mu[521],0.278,0.154,0.02,0.518,0.001,0.001,12688.0,5807.0,1.0
mu[522],1.876,0.181,1.589,2.184,0.001,0.001,15526.0,6351.0,1.0
mu[523],0.582,0.171,0.307,0.867,0.001,0.001,15616.0,6486.0,1.0
mu[524],0.277,0.153,0.02,0.517,0.001,0.001,12697.0,5807.0,1.0
mu[525],0.581,0.184,0.289,0.893,0.002,0.001,11205.0,6362.0,1.0
mu[526],0.327,0.174,0.05,0.618,0.002,0.001,12683.0,7057.0,1.0
mu[527],0.591,0.187,0.294,0.908,0.002,0.001,11211.0,6362.0,1.0
mu[528],-0.671,0.271,-1.125,-0.239,0.002,0.002,13526.0,6530.0,1.0
mu[529],0.466,0.192,0.166,0.798,0.002,0.001,12058.0,6458.0,1.0
mu[530],-0.058,0.223,-0.428,0.304,0.002,0.002,10839.0,6713.0,1.0
mu[531],3.51,0.245,3.087,3.89,0.002,0.002,9779.0,6448.0,1.0
mu[532],-0.106,0.262,-0.529,0.327,0.003,0.003,10777.0,6427.0,1.0
mu[533],0.273,0.131,0.054,0.486,0.001,0.001,16998.0,5691.0,1.0
mu[534],2.534,0.261,2.127,2.978,0.003,0.002,9958.0,6006.0,1.0
mu[535],-0.804,0.233,-1.189,-0.427,0.002,0.002,8986.0,5768.0,1.0
mu[536],-0.398,0.245,-0.804,0.003,0.002,0.002,10039.0,5852.0,1.0
mu[537],0.666,0.256,0.245,1.095,0.002,0.002,13831.0,6718.0,1.0
mu[538],0.468,0.192,0.166,0.801,0.002,0.001,12062.0,6403.0,1.0
mu[539],0.23,0.125,0.012,0.427,0.001,0.001,16007.0,5917.0,1.0
mu[540],-0.522,0.269,-0.955,-0.08,0.002,0.002,13349.0,6707.0,1.0
mu[541],0.565,0.267,0.14,1.02,0.002,0.002,13946.0,6963.0,1.0
mu[542],2.875,0.264,2.443,3.299,0.003,0.002,9986.0,5572.0,1.0
mu[543],-0.943,0.242,-1.356,-0.559,0.002,0.002,9589.0,6440.0,1.0
mu[544],2.658,0.26,2.233,3.081,0.003,0.002,9987.0,5689.0,1.0
mu[545],-0.545,0.274,-0.991,-0.097,0.002,0.002,13143.0,6920.0,1.0
mu[546],-0.67,0.271,-1.126,-0.24,0.002,0.002,13519.0,6530.0,1.0
mu[547],-0.109,0.262,-0.533,0.324,0.003,0.003,10805.0,6481.0,1.0
mu[548],3.563,0.241,3.16,3.945,0.003,0.002,9159.0,6583.0,1.0
mu[549],-0.059,0.223,-0.428,0.304,0.002,0.002,10842.0,6649.0,1.0
mu[550],0.466,0.191,0.166,0.797,0.002,0.001,12058.0,6458.0,1.0
mu[551],0.335,0.148,0.094,0.578,0.001,0.001,17572.0,5410.0,1.0
mu[552],0.714,0.252,0.314,1.154,0.002,0.002,13750.0,6572.0,1.0
mu[553],-0.404,0.245,-0.808,0.0,0.002,0.002,10042.0,6038.0,1.0
mu[554],-0.786,0.233,-1.173,-0.412,0.002,0.002,8943.0,5725.0,1.0
mu[555],0.053,0.213,-0.313,0.389,0.002,0.002,10412.0,6616.0,1.0
mu[556],-0.512,0.268,-0.931,-0.058,0.002,0.002,13429.0,6648.0,1.0
mu[557],-0.401,0.245,-0.807,0.0,0.002,0.002,10037.0,5918.0,1.0
mu[558],3.737,0.232,3.363,4.125,0.003,0.002,8514.0,5950.0,1.0
mu[559],-0.141,0.135,-0.36,0.078,0.001,0.001,8385.0,5045.0,1.0
mu[560],0.335,0.185,0.014,0.611,0.002,0.001,14762.0,5773.0,1.0
mu[561],2.63,0.153,2.384,2.889,0.002,0.001,8145.0,5816.0,1.0
mu[562],-0.672,0.271,-1.126,-0.24,0.002,0.002,13526.0,6530.0,1.0
mu[563],-0.243,0.116,-0.437,-0.059,0.001,0.001,10288.0,6768.0,1.0
mu[564],0.24,0.28,-0.233,0.69,0.003,0.003,10117.0,6037.0,1.0
mu[565],0.191,0.186,-0.113,0.499,0.002,0.002,13525.0,6441.0,1.0
mu[566],0.683,0.16,0.424,0.946,0.001,0.001,14233.0,6638.0,1.0
mu[567],-0.331,0.126,-0.542,-0.134,0.001,0.001,8549.0,5226.0,1.0
mu[568],0.264,0.041,0.199,0.333,0.0,0.0,7913.0,7083.0,1.0
mu[569],-0.004,0.124,-0.208,0.202,0.001,0.001,13048.0,6895.0,1.0
mu[570],0.31,0.169,0.019,0.567,0.001,0.001,14835.0,5907.0,1.0
mu[571],0.153,0.161,-0.136,0.394,0.002,0.001,11141.0,6842.0,1.0
mu[572],2.467,0.15,2.221,2.713,0.002,0.001,8352.0,5858.0,1.0
mu[573],0.043,0.032,-0.009,0.096,0.0,0.0,7126.0,7055.0,1.0
mu[574],0.244,0.28,-0.226,0.696,0.003,0.003,10092.0,6025.0,1.0
mu[575],0.183,0.19,-0.155,0.47,0.002,0.002,11155.0,6904.0,1.0
mu[576],0.271,0.178,-0.014,0.575,0.001,0.001,15062.0,6537.0,1.0
mu[577],-0.064,0.154,-0.325,0.182,0.002,0.002,10245.0,5401.0,1.0
mu[578],0.713,0.08,0.583,0.844,0.001,0.001,9360.0,6747.0,1.0
mu[579],0.001,0.13,-0.211,0.217,0.001,0.001,13023.0,6882.0,1.0
mu[580],0.327,0.18,0.014,0.596,0.001,0.001,14788.0,5886.0,1.0
mu[581],0.174,0.182,-0.147,0.451,0.002,0.002,11155.0,6904.0,1.0
mu[582],2.526,0.15,2.276,2.768,0.002,0.001,8199.0,5769.0,1.0
mu[583],0.198,0.087,0.057,0.339,0.001,0.001,10587.0,6361.0,1.0
mu[584],0.246,0.28,-0.226,0.696,0.003,0.003,10085.0,6025.0,1.0
mu[585],0.224,0.182,-0.075,0.523,0.002,0.001,14115.0,6508.0,1.0
mu[586],0.502,0.109,0.31,0.671,0.001,0.001,13701.0,6533.0,1.0
mu[587],-0.061,0.156,-0.326,0.189,0.002,0.002,10272.0,5479.0,1.0
mu[588],-0.065,0.143,-0.293,0.17,0.002,0.002,8511.0,4813.0,1.0
mu[589],0.904,0.112,0.725,1.09,0.001,0.001,9634.0,7165.0,1.0
mu[590],-0.015,0.113,-0.194,0.177,0.001,0.001,13079.0,6538.0,1.0
mu[591],0.691,0.163,0.424,0.953,0.001,0.001,14239.0,6594.0,1.0
mu[592],-0.111,0.262,-0.535,0.322,0.003,0.003,10831.0,6373.0,1.0
mu[593],-0.07,0.15,-0.323,0.172,0.001,0.002,10198.0,5519.0,1.0
mu[594],0.302,0.151,0.061,0.553,0.001,0.001,10641.0,6252.0,1.0
mu[595],0.659,0.291,0.173,1.132,0.002,0.002,16905.0,5989.0,1.0
mu[596],1.25,0.267,0.805,1.685,0.002,0.002,13283.0,6121.0,1.0
mu[597],0.401,0.269,-0.021,0.867,0.003,0.002,11422.0,5938.0,1.0
mu[598],0.163,0.233,-0.243,0.526,0.002,0.002,9001.0,5373.0,1.0
mu[599],1.688,0.201,1.377,2.037,0.002,0.001,9814.0,7304.0,1.0
mu[600],0.047,0.268,-0.389,0.493,0.002,0.003,12819.0,6913.0,1.0
mu[601],0.447,0.208,0.111,0.785,0.002,0.001,15241.0,5848.0,1.0
mu[602],0.014,0.181,-0.282,0.311,0.002,0.002,9740.0,5435.0,1.0
mu[603],3.31,0.304,2.824,3.812,0.003,0.002,12701.0,6456.0,1.0
mu[604],0.405,0.332,-0.129,0.967,0.003,0.003,10088.0,5146.0,1.0
mu[605],-0.305,0.182,-0.608,-0.013,0.002,0.002,8463.0,4416.0,1.0
mu[606],0.299,0.264,-0.145,0.717,0.002,0.002,16797.0,6102.0,1.0
mu[607],0.643,0.221,0.28,1.004,0.002,0.002,9521.0,7074.0,1.0
mu[608],-0.269,0.315,-0.774,0.267,0.003,0.003,8916.0,6054.0,1.0
mu[609],-0.312,0.18,-0.618,-0.032,0.002,0.002,8456.0,4456.0,1.0
mu[610],1.964,0.193,1.643,2.272,0.002,0.001,10112.0,6759.0,1.0
mu[611],1.089,0.249,0.705,1.513,0.002,0.002,14236.0,6182.0,1.0
mu[612],0.066,0.237,-0.302,0.476,0.003,0.003,8635.0,5407.0,1.0
mu[613],3.525,0.19,3.215,3.837,0.002,0.001,8241.0,5425.0,1.0
mu[614],-0.801,0.329,-1.328,-0.257,0.003,0.002,10143.0,6553.0,1.0
mu[615],-0.313,0.179,-0.62,-0.035,0.002,0.002,8455.0,4498.0,1.0
mu[616],0.269,0.251,-0.147,0.672,0.002,0.002,16717.0,5869.0,1.0
mu[617],0.606,0.211,0.258,0.951,0.002,0.002,9284.0,6898.0,1.0
mu[618],0.197,0.267,-0.26,0.622,0.002,0.002,15071.0,5958.0,1.0
mu[619],-0.298,0.317,-0.807,0.244,0.003,0.003,8918.0,6062.0,1.0
mu[620],1.919,0.189,1.609,2.227,0.002,0.001,9996.0,6759.0,1.0
mu[621],-0.071,0.189,-0.377,0.242,0.002,0.002,9482.0,5477.0,1.0
mu[622],1.061,0.246,0.676,1.473,0.002,0.002,14238.0,6233.0,1.0
mu[623],0.057,0.237,-0.318,0.46,0.003,0.003,8659.0,5436.0,1.0
mu[624],3.9,0.254,3.471,4.304,0.003,0.002,9318.0,6540.0,1.0
mu[625],-0.053,0.198,-0.377,0.274,0.002,0.002,9552.0,6071.0,1.0
mu[626],-0.665,0.324,-1.184,-0.128,0.003,0.002,9843.0,6261.0,1.0
mu[627],0.204,0.273,-0.26,0.638,0.002,0.003,15082.0,5959.0,1.0
mu[628],0.202,0.19,-0.11,0.513,0.002,0.002,8426.0,4687.0,1.0
mu[629],-0.475,0.211,-0.835,-0.145,0.002,0.002,8548.0,5474.0,1.0
mu[630],3.651,0.198,3.321,3.971,0.002,0.002,8305.0,5528.0,1.0
mu[631],0.334,0.212,-0.014,0.686,0.002,0.002,16214.0,6181.0,1.0
mu[632],-0.101,0.283,-0.57,0.358,0.003,0.003,9884.0,6303.0,1.0
mu[633],0.359,0.263,-0.075,0.784,0.002,0.002,16411.0,5891.0,1.0
mu[634],0.09,0.154,-0.168,0.337,0.002,0.002,8991.0,6252.0,1.0
mu[635],2.045,0.196,1.732,2.379,0.002,0.001,11781.0,6222.0,1.0
mu[636],-0.308,0.225,-0.685,0.06,0.002,0.002,9455.0,6224.0,1.0
mu[637],1.458,0.231,1.095,1.852,0.002,0.001,16352.0,5554.0,1.0
mu[638],0.191,0.189,-0.115,0.502,0.002,0.002,8423.0,4723.0,1.0
mu[639],0.209,0.17,-0.063,0.488,0.002,0.001,10205.0,6916.0,1.0
mu[640],-0.477,0.211,-0.838,-0.148,0.002,0.002,8553.0,5557.0,1.0
mu[641],0.392,0.234,0.029,0.803,0.002,0.002,16331.0,6259.0,1.0
mu[642],0.133,0.263,-0.307,0.553,0.003,0.003,9338.0,6094.0,1.0
mu[643],0.361,0.264,-0.074,0.787,0.002,0.002,16451.0,5871.0,1.0
mu[644],4.314,0.241,3.932,4.72,0.003,0.002,8436.0,5678.0,1.0
mu[645],2.05,0.197,1.706,2.355,0.002,0.001,11791.0,6197.0,1.0
mu[646],1.442,0.229,1.047,1.798,0.002,0.001,16353.0,5721.0,1.0
mu[647],0.139,0.177,-0.165,0.418,0.002,0.002,9237.0,6488.0,1.0
mu[648],1.696,0.161,1.436,1.964,0.002,0.001,11275.0,6054.0,1.0
mu[649],0.163,0.19,-0.164,0.461,0.002,0.002,9346.0,6571.0,1.0
mu[650],0.36,0.264,-0.074,0.786,0.002,0.002,16451.0,5871.0,1.0
mu[651],0.232,0.261,-0.207,0.644,0.003,0.002,9149.0,5786.0,1.0
mu[652],0.38,0.228,0.027,0.785,0.002,0.002,16306.0,6224.0,1.0
mu[653],-0.243,0.228,-0.639,0.113,0.002,0.002,9378.0,5078.0,1.0
mu[654],0.381,0.215,0.028,0.727,0.002,0.002,10470.0,7117.0,1.0
mu[655],4.346,0.241,3.968,4.757,0.003,0.002,8394.0,5699.0,1.0
mu[656],0.198,0.19,-0.115,0.506,0.002,0.002,8424.0,4644.0,1.0
mu[657],1.453,0.23,1.056,1.812,0.002,0.001,16359.0,5593.0,1.0
mu[658],-0.256,0.226,-0.651,0.097,0.002,0.002,9393.0,5290.0,1.0
mu[659],-0.478,0.211,-0.838,-0.148,0.002,0.002,8560.0,5656.0,1.0
mu[660],1.544,0.14,1.327,1.781,0.002,0.001,8339.0,7495.0,1.0
mu[661],0.932,0.146,0.693,1.17,0.001,0.001,11325.0,6730.0,1.0
mu[662],0.297,0.186,0.002,0.614,0.002,0.001,12504.0,5247.0,1.0
mu[663],-0.158,0.17,-0.435,0.124,0.002,0.001,11946.0,6666.0,1.0
mu[664],-0.22,0.118,-0.409,-0.025,0.001,0.001,11678.0,5848.0,1.0
mu[665],0.075,0.12,-0.119,0.27,0.001,0.001,13176.0,6161.0,1.0
mu[666],-0.547,0.139,-0.778,-0.325,0.001,0.001,11029.0,6297.0,1.0
mu[667],-0.071,0.101,-0.234,0.099,0.001,0.001,15888.0,5843.0,1.0
mu[668],1.52,0.14,1.302,1.757,0.002,0.001,8378.0,7299.0,1.0
mu[669],-0.108,0.088,-0.246,0.043,0.001,0.001,14115.0,5984.0,1.0
mu[670],0.021,0.169,-0.253,0.304,0.001,0.002,20283.0,6038.0,1.0
mu[671],0.02,0.185,-0.281,0.33,0.001,0.002,20089.0,6136.0,1.0
mu[672],0.775,0.137,0.546,0.988,0.001,0.001,9037.0,7069.0,1.0
mu[673],-0.101,0.084,-0.231,0.041,0.001,0.001,14128.0,5960.0,1.0
mu[674],0.112,0.146,-0.121,0.357,0.001,0.001,13592.0,6268.0,1.0
mu[675],-0.085,0.136,-0.316,0.135,0.001,0.001,16329.0,5710.0,1.0
mu[676],0.678,0.145,0.436,0.906,0.002,0.001,9338.0,7580.0,1.0
